kid,kanton,pid,partei,fiktive_waehlende
"1","Zürich","1","FDP","65541.168516"
"1","Zürich","2","CVP","17897.235757"
"1","Zürich","3","SP","91508.239784"
"1","Zürich","4","SVP","131246.23282"
"1","Zürich","7","EVP","13335.723463"
"1","Zürich","9","PdA/Sol.","1026.6532965"
"1","Zürich","13","GPS","29469.966711"
"1","Zürich","14","SD","753.42664786"
"1","Zürich","16","EDU","8815.5081964"
"1","Zürich","31","GLP","34905.350531"
"1","Zürich","32","BDP","15497.212186"
"1","Zürich","35","Übrige","17772.282094"
"2","Bern / Berne","1","FDP","33032.95407"
"2","Bern / Berne","2","CVP","6495.5252346"
"2","Bern / Berne","3","SP","69663.135654"
"2","Bern / Berne","4","SVP","117263.25169"
"2","Bern / Berne","7","EVP","15249.593672"
"2","Bern / Berne","9","PdA/Sol.","1843.9128947"
"2","Bern / Berne","13","GPS","30116.423749"
"2","Bern / Berne","14","SD","1571.1499661"
"2","Bern / Berne","16","EDU","10059.63557"
"2","Bern / Berne","31","GLP","21233.799344"
"2","Bern / Berne","32","BDP","41619.460069"
"2","Bern / Berne","35","Übrige","5878.1580913"
"3","Luzern","1","FDP","25130.601162"
"3","Luzern","2","CVP","32460.178703"
"3","Luzern","3","SP","18452.790995"
"3","Luzern","4","SVP","38806.696535"
"3","Luzern","7","EVP","858.71135071"
"3","Luzern","13","GPS","9625.3717566"
"3","Luzern","14","SD","118.78806653"
"3","Luzern","31","GLP","7851.234072"
"3","Luzern","32","BDP","1860.6760548"
"3","Luzern","35","Übrige","926.95130382"
"4","Uri","2","CVP","3903"
"4","Uri","4","SVP","6409"
"4","Uri","13","GPS","3821"
"4","Uri","35","Übrige","405"
"5","Schwyz","1","FDP","11185.955055"
"5","Schwyz","2","CVP","10561.897565"
"5","Schwyz","3","SP","7105.290203"
"5","Schwyz","4","SVP","23146.973487"
"5","Schwyz","13","GPS","763.54385609"
"5","Schwyz","31","GLP","1528.3398339"
"6","Obwalden","4","SVP","5227"
"6","Obwalden","35","Übrige","9911"
"7","Nidwalden","4","SVP","13380"
"7","Nidwalden","35","Übrige","2776"
"8","Glarus","3","SP","4742"
"8","Glarus","32","BDP","5423"
"8","Glarus","35","Übrige","372"
"9","Zug","1","FDP","6891.4390217"
"9","Zug","2","CVP","10330.462614"
"9","Zug","3","SP","5372.8047717"
"9","Zug","4","SVP","11899.651047"
"9","Zug","13","GPS","2796.2154445"
"9","Zug","31","GLP","1398.7773141"
"9","Zug","35","Übrige","377.64978704"
"10","Fribourg / Freiburg","1","FDP","12895.690088"
"10","Fribourg / Freiburg","2","CVP","20617.49196"
"10","Fribourg / Freiburg","3","SP","22004.340205"
"10","Fribourg / Freiburg","4","SVP","23583.51661"
"10","Fribourg / Freiburg","7","EVP","609.71502834"
"10","Fribourg / Freiburg","8","CSP","1654.3408002"
"10","Fribourg / Freiburg","13","GPS","4806.3212935"
"10","Fribourg / Freiburg","16","EDU","688.9345344"
"10","Fribourg / Freiburg","31","GLP","2904.7634973"
"10","Fribourg / Freiburg","32","BDP","1168.8859843"
"11","Solothurn","1","FDP","18517.195984"
"11","Solothurn","2","CVP","12911.739763"
"11","Solothurn","3","SP","17473.872169"
"11","Solothurn","4","SVP","25152.065035"
"11","Solothurn","7","EVP","1049.1898922"
"11","Solothurn","13","GPS","4846.7209748"
"11","Solothurn","16","EDU","440.7938365"
"11","Solothurn","31","GLP","3010.1358568"
"11","Solothurn","32","BDP","2984.3251151"
"11","Solothurn","35","Übrige","858.9613734"
"12","Basel-Stadt","1","FDP","11913.798339"
"12","Basel-Stadt","2","CVP","3595.510083"
"12","Basel-Stadt","3","SP","18577.169632"
"12","Basel-Stadt","4","SVP","9842.4958482"
"12","Basel-Stadt","7","EVP","1292.8600237"
"12","Basel-Stadt","13","GPS","6235.1577699"
"12","Basel-Stadt","16","EDU","256.0059312"
"12","Basel-Stadt","31","GLP","2678.539739"
"12","Basel-Stadt","32","BDP","613.65243179"
"12","Basel-Stadt","35","Übrige","764.81020166"
"13","Basel-Landschaft","1","FDP","13750.209343"
"13","Basel-Landschaft","2","CVP","7916.6565054"
"13","Basel-Landschaft","3","SP","19297.245576"
"13","Basel-Landschaft","4","SVP","25926.949422"
"13","Basel-Landschaft","7","EVP","1904.4081631"
"13","Basel-Landschaft","13","GPS","12356.154391"
"13","Basel-Landschaft","16","EDU","389.4498161"
"13","Basel-Landschaft","31","GLP","2385.0027498"
"13","Basel-Landschaft","32","BDP","2461.7713736"
"13","Basel-Landschaft","35","Übrige","660.15265985"
"14","Schaffhausen","1","FDP","4004.611473"
"14","Schaffhausen","3","SP","8943.3981606"
"14","Schaffhausen","4","SVP","14058.283398"
"14","Schaffhausen","13","GPS","1062.6117639"
"14","Schaffhausen","16","EDU","1591.4091196"
"14","Schaffhausen","35","Übrige","1378.6860847"
"15","Appenzell Ausserrhoden","1","FDP","5949"
"15","Appenzell Ausserrhoden","3","SP","5058"
"15","Appenzell Ausserrhoden","4","SVP","6394"
"15","Appenzell Ausserrhoden","35","Übrige","314"
"16","Appenzell Innerrhoden","2","CVP","3121"
"16","Appenzell Innerrhoden","3","SP","739"
"16","Appenzell Innerrhoden","35","Übrige","230"
"17","St. Gallen","1","FDP","20815.800747"
"17","St. Gallen","2","CVP","24105.589819"
"17","St. Gallen","3","SP","20650.117635"
"17","St. Gallen","4","SVP","52132.850977"
"17","St. Gallen","7","EVP","2549.8050877"
"17","St. Gallen","13","GPS","8367.9638369"
"17","St. Gallen","14","SD","404.16255766"
"17","St. Gallen","16","EDU","1356.2310119"
"17","St. Gallen","31","GLP","7117.6489694"
"17","St. Gallen","32","BDP","5293.2013506"
"17","St. Gallen","35","Übrige","2837.6280073"
"18","Graubünden / Grigioni / Grischun","1","FDP","8037.0770392"
"18","Graubünden / Grigioni / Grischun","2","CVP","10185.67041"
"18","Graubünden / Grigioni / Grischun","3","SP","10676.881085"
"18","Graubünden / Grigioni / Grischun","4","SVP","18016.027944"
"18","Graubünden / Grigioni / Grischun","31","GLP","4769.6596829"
"18","Graubünden / Grigioni / Grischun","32","BDP","8773.0871275"
"18","Graubünden / Grigioni / Grischun","35","Übrige","135.59671214"
"19","Aargau","1","FDP","29980.963258"
"19","Aargau","2","CVP","17002.206109"
"19","Aargau","3","SP","31825.686102"
"19","Aargau","4","SVP","75216.243463"
"19","Aargau","7","EVP","6604.9828971"
"19","Aargau","13","GPS","10828.504066"
"19","Aargau","16","EDU","2229.2039228"
"19","Aargau","31","GLP","10247.50198"
"19","Aargau","32","BDP","10148.19514"
"19","Aargau","35","Übrige","3880.5130614"
"20","Thurgau","1","FDP","9937.2066961"
"20","Thurgau","2","CVP","10029.918257"
"20","Thurgau","3","SP","9697.0603234"
"20","Thurgau","4","SVP","30455.747885"
"20","Thurgau","7","EVP","1792.4793015"
"20","Thurgau","13","GPS","4153.9465243"
"20","Thurgau","16","EDU","2620.0220282"
"20","Thurgau","31","GLP","4711.7220365"
"20","Thurgau","32","BDP","2873.2216532"
"20","Thurgau","35","Übrige","124.67529452"
"21","Ticino","1","FDP","27599.453915"
"21","Ticino","2","CVP","23354.934551"
"21","Ticino","3","SP","18530.990839"
"21","Ticino","4","SVP","13147.268605"
"21","Ticino","9","PdA/Sol.","605.19355189"
"21","Ticino","13","GPS","4103.4265999"
"21","Ticino","18","Lega","25220.777909"
"21","Ticino","31","GLP","986.50120927"
"21","Ticino","35","Übrige","2758.4528188"
"22","Vaud","1","FDP","48358.289662"
"22","Vaud","2","CVP","7303.8170949"
"22","Vaud","3","SP","40011.127017"
"22","Vaud","4","SVP","40649.514084"
"22","Vaud","7","EVP","1911.6338854"
"22","Vaud","9","PdA/Sol.","5184.4129958"
"22","Vaud","13","GPS","20272.672258"
"22","Vaud","14","SD","231.72181825"
"22","Vaud","16","EDU","1258.9099912"
"22","Vaud","31","GLP","7012.9274173"
"22","Vaud","32","BDP","3258.783636"
"22","Vaud","35","Übrige","4742.1901396"
"23","Valais / Wallis","1","FDP","22808.267532"
"23","Valais / Wallis","2","CVP","50035.731565"
"23","Valais / Wallis","3","SP","16670.346113"
"23","Valais / Wallis","4","SVP","27844.285551"
"23","Valais / Wallis","8","CSP","1778.0395731"
"23","Valais / Wallis","13","GPS","6147.2131995"
"23","Valais / Wallis","35","Übrige","466.11646623"
"24","Neuchâtel","1","FDP","11135.427268"
"24","Neuchâtel","2","CVP","1627.4894268"
"24","Neuchâtel","3","SP","10786.081525"
"24","Neuchâtel","4","SVP","9293.307123"
"24","Neuchâtel","9","PdA/Sol.","5571.7728436"
"24","Neuchâtel","13","GPS","4243.9038397"
"24","Neuchâtel","31","GLP","1543.007123"
"24","Neuchâtel","32","BDP","436.87245409"
"24","Neuchâtel","35","Übrige","952.13839733"
"25","Genève","1","FDP","21291.434759"
"25","Genève","2","CVP","12510.239264"
"25","Genève","3","SP","20693.500607"
"25","Genève","4","SVP","18301.948403"
"25","Genève","7","EVP","610.93472506"
"25","Genève","9","PdA/Sol.","6290.8942584"
"25","Genève","13","GPS","11903.453658"
"25","Genève","16","EDU","232.903881"
"25","Genève","31","GLP","2355.5009691"
"25","Genève","32","BDP","1064.0185221"
"25","Genève","33","MCR","8183.9989634"
"25","Genève","35","Übrige","362.17198914"
"26","Jura","1","FDP","4668.7712473"
"26","Jura","2","CVP","7686.0727858"
"26","Jura","3","SP","6595.3182796"
"26","Jura","4","SVP","3573.4907888"
"26","Jura","8","CSP","1840.0510549"
"26","Jura","9","PdA/Sol.","1051.0267026"
"26","Jura","13","GPS","2023.6035652"
"26","Jura","35","Übrige","377.6655759"
